,acc,f1,precision,recall,test_time_clf,test_time_feat
FOURIER_mlp,9.5824,1.6766,0.9187,9.5824,1.6797,6.2904
HOS_mlp,79.8419,79.3164,80.8825,79.8419,1.8743,5.799
SCM_mlp,72.4326,71.9436,72.594,72.4326,1.992,5.9575
FOURIER_svm,13.5111,3.2169,1.8259,13.5111,6.6024,6.1882
HOS_svm,62.3218,58.6595,61.0722,62.3218,7.0698,6.3698
SCM_svm,54.8891,51.2163,53.8686,54.8891,7.1949,5.7497
FOURIER_knn,13.0481,4.7539,2.9863,13.0481,3.4191,5.9746
HOS_knn,63.4629,62.717,65.3329,63.4629,3.1102,5.7685
SCM_knn,62.3624,61.5592,63.075,62.3624,3.4261,5.7378
FOURIER_naive_bayes,9.5824,1.6835,0.9229,9.5824,1.4886,5.6014
HOS_naive_bayes,37.3357,32.5676,35.5033,37.3357,1.5332,6.0498
SCM_naive_bayes,33.1792,29.5159,36.514,33.1792,1.6811,5.8363
