,acc,f1,precision,recall,test_time_clf,test_time_feat
FOURIER_mlp,0.213,0.0707,0.0405,0.213,0.2552,0.8898
HOS_mlp,7.5637,7.9027,6.2792,7.5637,0.2793,0.4439
SCM_mlp,3.7823,3.8952,4.2138,3.7823,0.2003,1.0653
FOURIER_svm,0.1995,0.0898,0.0543,0.1995,0.3976,0.8459
HOS_svm,6.9528,9.0666,12.0588,6.9528,0.3258,0.5961
SCM_svm,5.7865,6.4352,8.9473,5.7865,0.4842,0.7075
FOURIER_knn,3.0781,1.0155,0.5796,3.0781,0.5437,0.916
HOS_knn,2.4394,2.5108,3.4747,2.4394,0.4536,1.0878
SCM_knn,5.3827,5.4482,5.5575,5.3827,0.5942,0.6119
FOURIER_naive_bayes,0.213,0.0694,0.0397,0.213,0.2033,0.4841
HOS_naive_bayes,5.0474,6.0649,6.582,5.0474,0.2102,1.245
SCM_naive_bayes,5.2517,5.4123,6.9071,5.2517,0.2415,0.3203
